Fiala chce nechat Hladíkovi na vyjasnění jeho kauzy čtyři týdny;Praha - Premiér Petr Fiala (ODS) chce čekat na vyjasnění situace kolem kandidáta na ministra životního prostředí Petra Hladíka (KDU-ČSL) čtyři týdny, setkal se s ním a vyslechl jeho...
Katolická církev loni měla zisk 646 milionů Kč, meziročně o 270 milionů více;Praha - Hospodaření české katolické církve skončilo loni se ziskem 646 milionů korun, což bylo meziročně o 270 milionů korun více. Církvi klesly oproti roku 2020 příjmy v podobě státního...
Teprve popáté od začátku 20. století zažilo Česko říjen bez sněhu;Praha - Zatímco v září na českých horách několikrát drobně sněžilo, v říjnu nezaznamenala sníh žádná ze stanic Českého hydrometeorologického ústavu (ČHMÚ), a to ani na hřebenech...
Zeman vetoval novelu rozpočtu na letošek. Vadí mu nižší příjmy;Praha - Prezident Miloš Zeman vetoval novelu rozpočtu na letošní rok. Vadí mu, že příjmy jsou nižší, než by mohly být, pokud by byla nejprve přijata novela zákona o daních z příjmů....
Policie navrhla zastavit stíhání obviněného z dvojnásobné vraždy na Náchodsku;Hradec Králové - Policie navrhla státnímu zastupitelství zastavit trestní stíhání muže obviněného z červnové dvojnásobné vraždy na Náchodsku. Šestatřicetiletý muž nebyl podle...
Senát schválil zákon, který při zakázkách zvýhodní nízkoemisní vozidla;Praha - Zadavatelé budou muset u zakázek na zajištění veřejné dopravy stanovit minimální podíl vozidel s nízkými nebo nulovými emisemi. Vládní návrh nového zákona o podpoře nízkoemisních...
MZV doporučuje kvůli bezpečnostní situaci jen nezbytné cesty do Íránu;Praha - Ministerstvo zahraničí doporučuje kvůli zhoršené bezpečnostní situaci cestovat do Íránu jen ve zcela nezbytných případech. Při protestech v zemi dochází k násilnostem. Česká...
Babiš navrhl zavedení jednokolových voleb do Senátu;Praha - Předseda opozičního hnutí ANO Andrej Babiš navrhl zavedení jednokolových voleb do Senátu. Poukazuje na nízkou účast voličů při nynějších druhých kolech, volby by navíc podle...
Cenu Michala Velíška dostal muž, který skočil do řeky pro tonoucí holčičku;Praha - Osmačtyřicetiletý Petr Jirout skočil na konci srpna z mostu v Chrudimi, aby zachránil topící se dvouletou holčičku, která vypadla z okna. Dnes za to dostal Cenu Michala Velíška...
Senátor Fischer podal kandidátní listinu do prezidentských voleb;Praha - Senátor Pavel Fischer dnes podal kandidátní listinu do prezidentských voleb, podepsalo mu ji 54 poslanců a senátorů. Kandidaturu mu podpořili i čtyři senátoři z předchozího volebního...
Česká ambasáda v Berlíně má kvůli cenám energií problém vystačit s penězi;Praha - České velvyslanectví v Berlíně kvůli vysokým cenám energií v zásadě nevystačí s přidělenými penězi. Budou se hledat náhradní prostory a je snaha zrychlit plánovanou rekonstrukci...
Vodákům za plavbu pod mírným vlivem alkoholu zřejmě nebude hrozit pokuta;Praha - Vodáci zřejmě nebudou od příští sezony pokutováni za plavbu pod mírným vlivem alkoholu na vybraných úsecích tuzemských řek. Senát to dnes hladce schválil beze změn v novele...
Premiér: EK nepřipustí jednostranné zvýhodnění německého průmyslu;Praha - Státy EU podle premiéra Petra Fialy (ODS) považují za nepřijatelné, aby Německo jednostranně zvýhodnilo svůj průmysl. Podle kritiků by chystané uvolnění až 200 miliard eur (téměř...
Sněmovní zahraniční výbor označil současný ruský režim za teroristický;Praha - Sněmovní zahraniční výbor dnes v usnesení označil současný ruský režim za teroristický. Odsoudil zejména rozsáhlé útoky na ukrajinské civilní obyvatelstvo či klíčovou infrastrukturu....
