Web;Title;Url;Datetime;Abstract
idnes.cz;Fiala hostil české premiéry. U jednoho stolu se sešli velcí političtí soupeři;https://www.idnes.cz/zpravy/domaci/fiala-premier-premieri-byvali-babis-topolanek-vlada-partnerky.A230102_132436_domaci_remy;2023-01-02;V Kramářově vile se u jednoho stolu na večeři sešli velcí političtí soupeři z posledních třiceti let. Expremiér Mirek Topolánek za ODS i jeho rival Jiří Paroubek z ČSSD, premiér Petr Fiala z ODS i jeho předchůdce a šéf ANO Andrej Babiš, i bývalí premiéři Vladimír Špidla a dnešní prezident Miloš Zeman, kteří byli rivaly, ač z jedné politické strany.
idnes.cz;Současní i bývalí politici se sešli na koncertě, přijel i slovenský premiér;https://www.idnes.cz/zpravy/domaci/koncert-rudolfinum-politici-premieri-heger.A230102_205428_domaci_tty;2023-01-02;Do pražského Rudolfina se v pondělí večer sjeli současní i bývalí političtí představitelé České republiky, kteří se při příležitosti 30. výročí založení republiky zúčastnili slavnostního koncertu, na kterém zazněla také Novosvětská symfonie nejhranějšího českého skladatele Antonína Dvořáka. Události se kromě českého předsedy vlády Petra Fialy zúčastnil i jeho slovenský protějšek Eduard Heger.
idnes.cz;Rekordní teploty jsou nový normál, loňský rok můžeme překonat, říká klimatolog;https://www.idnes.cz/zpravy/domaci/klimaticka-zmena-rekordni-teploty-vegetace-oteplovani.A230102_135615_domaci_idvs;2023-01-03;Vysoké teploty posledních dní potvrzují dlouhodobý trend klimatické změny. Teplota roste vlivem lidské činnosti a s růstem přicházejí i extrémní projevy počasí. Letošní rok může být dle klimatologů ještě teplejší než ten loňský, který byl rekordní. Na nezvyklé změny reaguje i česká příroda, dřívější teplo v kombinaci s náhlým mrazem jí může ublížit.
idnes.cz;Pavel by si za kancléřku vybral Vohralíkovou ze Senátu. Je zkušená, řekl;https://www.idnes.cz/volby/petr-pavel-prezidentske-volby-vedouci-kancelare-jana-vohralikova.A230103_061541_domaci_pukk;2023-01-03;Kandidát na prezidenta Petr Pavel by si v případě svého vítězství v lednových prezidentských volbách vybral za svou kancléřku nynější vedoucí kanceláře Senátu Janu Vohralíkovou. Média upozorňují, že je spojená s vyšetřováním zakázek v horní komoře Parlamentu i obviněným Petrem Hlubučkem.
idnes.cz;Na Jesenicku naměřili 18,7 stupně, ale zima se vrátí. V půli ledna;https://www.idnes.cz/zpravy/domaci/pocasi-teplotni-rekordy-cesko-jesenicko.A230103_065929_domaci_pukk;2023-01-03;Také v pondělí padaly v Česku teplotní rekordy. Nové maximum pro druhý lednový den bylo překonáno, nebo dorovnáno na 90 ze 162 stanic měřících alespoň 30 let. Nejtepleji bylo ve Zlatých Horách na Jesenicku, kde naměřili 18,7 stupně Celsia, uvedl Český hydrometeorologický ústav (ČHMÚ). Podle předpovědi má být nejteplejší tento týden, poté se má ochladit.
idnes.cz;Soud s Ferim začne na sv. Valentýna. Čelí žalobě ze dvou znásilnění a pokusu;https://www.idnes.cz/zpravy/domaci/dominik-feri-soud-znasilneni-praha-3-pokus.A230103_092219_domaci_remy;2023-01-03;Soud s bývalým poslancem TOP 09 Dominikem Ferim, který čelí obžalobě ze dvou znásilnění a jednoho pokusu o tento trestný čin, začne v polovině února u obvodního soudu v Praze 3. Bývalému politikovi hrozí až deset let vězení. Vinu dlouhodobě odmítá.
idnes.cz;Slabozrakou učitelku propustili pro údajnou nadbytečnost, soud se jí zastal;https://www.idnes.cz/ceske-budejovice/zpravy/slabozraka-ucitelka-propustena-ustavni-soud-obchodni-akademie.A230103_103143_budejovice-zpravy_mrl;2023-01-03;Ústavní soud (ÚS) se zastal slabozraké učitelky propuštěné pro údajnou nadbytečnost z Obchodní akademie v Českých Budějovicích. Kauzou se musí znovu zabývat jihočeský krajský soud, který se původně postavil na stranu školy.
idnes.cz;Přestali se na nás dívat jako na Maďary, řekl Bek k růstu české prestiže;https://www.idnes.cz/zpravy/domaci/ceske-predsednictvi-v-rade-eu-hodnoceni-petr-fiala-mikulas-bek.A230102_183519_domaci_knn;2023-01-03;S koncem roku 2022 skončilo po půl roce i české předsednictví v Radě EU. Podle premiéra Petra Fialy naučilo Českou republiku, jak v Evropské unii hájit své zájmy a pomohlo zemi zlepšit si svou reputaci. Podle ministra pro evropské záležitosti Mikuláše Beka se růst prestiže Česka projevil například tím, že v Bruselu ho přestali srovnávat s Maďarskem.
idnes.cz;Končí Balaš? O ničem nevím, reaguje ministr. Spekuluje se o Farském do vlády;https://www.idnes.cz/zpravy/domaci/stan-resi-vymenu-ministra-balase-chce-ho-poslat-na-ustavni-soud.A230103_084506_domaci_vank;2023-01-03;Vedení Starostů a nezávislých STAN zvažuje výměnu ministra školství Vladimíra Balaše, uvádí s odvoláním na nejmenované zdroje z vlády a vedení hnutí web Deník N. Podle serveru by Balaš jako odborník na ústavní právo a vysokoškolský pedagog mohl zamířit na Ústavní soud. O tom, kdo by ho v čele ministerstva nahradil, nemají Starostové ještě ale jasno.
idnes.cz;Na Česko udeří silný vítr. Může poškodit lesy i domy, varují meteorologové;https://www.idnes.cz/zpravy/domaci/pocasi-vitr-rychlost-70-km-h-teploty.A230103_114700_domaci_remy;2023-01-03;Na většině území Česka povane od středy do čtvrtka silný vítr. V nárazech může dosáhnout rychlosti až 70 kilometrů v hodině, informoval v úterý Český hydrometeorologický ústav. „Přes severní Evropu bude postupovat k východu tlaková níže a kolem ní bude zesilovat nad střední Evropou jihozápadní proudění,“ uvedli meteorologové.
